"","codeSchool","name"
"1","AL","Athénée de Luxembourg"
"2","LCD","Lycée classique de Diekirch"
"3","LCE","Lycée classique d'Echternach"
"4","LGL","Lycée de garçons de Luxembourg"
"5","LGE","Lycée de garçons d'Esch-sur-Alzette"
"6","LRSL","Lycée Robert-Schuman"
"7","LHCE","Lycée Hubert Clément"
"8","LMRL","Lycée Michel Rodange"
"9","LN","Lycée du Nord"
"10","LAML","Lycée Aline Mayrisch"
"11","LTA","Lycée technique agricole"
"12","LTAM","Lycée technique des Arts et Métiers"
"13","BLL","Bouneweger Lycée Luxembourg"
"14","LTC","Lycée Technique du Centre"
"15","ECG","École de Commerce et de Gestion"
"16","LGK","Lycée Guillaume Kroll"
"17","LTETT","Lycée technique d'Ettelbruck"
"18","EHTL","École d'hôtellerie et de tourisme du Luxembourg"
"19","MLG","Maacher Lycée"
"20","LJBM","Lycée Josy Barthel"
"21","LTL","Lycée technique de Lallange"
"22","LMA","Lycée Mathias Adam"
"23","LML","Lycée Michel Lucius"
"24","LNB","Lycée Nic-Biever"
"25","ENSA","École nationale de santé du Luxembourg"
"26","LTPES","Lycée technique pour professions éducatives et sociales"
"27","EPMC","Ecole Privée Marie-Consolatrice"
"28","EPND","Ecole Privée Notre-Dame Sainte-Sophie"
"29","LPEM","Lycée Privé Emile Metz"
"30","CNFPC","Centre national de formation professionnelle continue Esch/Alzette"
"31","LEM","Lycée Ermesinde"
"32","EPF","Ecole privée Fieldgen"
"33","EPSA","Ecole Privée Sainte-Anne"
"34","CNFPC-E","Centre national de formation professionnelle continue Ettelbruck"
"35","ALR","Atert-Lycée"
"36","UELL","Uelzecht-Lycée"
"37","NOSL","Nordstad-Lycée"
"38","ESTAL","Enseignement Secondaire Technique de l'Armée Luxembourgeoise"
"39","ENAD","École nationale pour adultes"
"40","LBV","Lycée Bel-Val"
"41","SLL","Sportlycée"
"42","LLIS","Lënster Lycée International School"
"43","LAM","Lycée des Arts et Métiers"
"44","EIDE","École internationale Differdange et Esch-sur-Alzette"
"45","LESC","Lycée Edward Steichen"
"46","HOME","Enseignement à domicile"
"47","EIMLB","École internationale de Mondorf-les-Bains"
"48","ESL1","European School Luxembourg I"
"49","ESL2","European School Luxembourg II"
"50","ISL","International School of Luxembourg"
"51","STG","St George's International School"
"52","EPG","Ecole Privée Grandjean"
"53","VAUBAN","Lycée Vauban"
"54","WALDORF","Waldorfschoul Lëtzebuerg"
"55","CDA","Centre pour le développement des apprentissages"
"56","CDI","Centre pour le développement intellectuel"
"57","CDM","Centre pour le développement moteur"
"58","CDSE","Centre pour le développement socio-émotionnel"
"59","CDV","Centre pour le développement des compétences relatives à la vue"
"60","CTSA","Centre pour enfants et jeunes présentant un trouble du spectre de l'autisme"
"61","CEJHP","Centre pour enfants et jeunes à haut potentiel"
"62","EIMAB","École Internationale Mersch Anne Beffort"
"63","UP","Service de la formation des adultes - Université populaire"
"64","EIGT","Ecole internationale Gaston Thorn"
"65","LTC-S","Lycée Technique du Centre"
"66","CISP","Centres d'Insertion Socio-Professionnelle"
"67","CAHRE","CAHRE"
"68","LTPS","Lycée Technique pour Professions des Santé"
